NAME,Well name,ST_DESC,classification,HC,PRE_RESERVOIR,PRE_CLOSURE,PRE_SEAL,PRE_CHARGE,PRE_TOTAL POS,POST_RESERVOIR,POST_CLOSURE,POST_SEAL,POST_CHARGE,Drilling Op,Unknown,SUCCESS_OilGas,Well name,,Yes,No
Fadhili (18),FADHILI-18,Khuff B Reservoir,DELINEATION,Gas,0.5,0.4,1,0.4,0.08,1,1,,,,,,FADHILI-18,,,
Hasbah  (17),HASBAH-17,Khuff B Reservoir,DELINEATION,Gas,0.9,0.7,1,0.9,0.567,,,,,,1,,HASBAH-17,,,
Hasbah (16),HASBAH-16,Khuff B Reservoir,DELINEATION,Gas,0.8,0.8,0.9,0.7,0.4032,,,,,,,1,HASBAH-16,,,
Hasbah Deep 1,HASBAH-15,Khuff B Reservoir,PROSPECT,Gas,0.8,0.8,0.9,0.7,0.4032,,,,,,,,HASBAH-15,,,
Jauf Deep 1,JAUF-11,Khuff B Reservoir,PROSPECT,Gas,0.4,0.9,0.9,0.4,0.1296,1,,,,,,,JAUF-11,,,
Jurayd Deep 1,JURAYD-5,Khuff B Reservoir,PROSPECT,Gas,0.8,0.8,0.8,0.9,0.4608,1,,,,,,,JURAYD-5,,,
Karan (7),KARAN-7,Khuff B Reservoir,DELINEATION,Gas,0.7,0.9,1,0.8,0.504,,,,,,,1,KARAN-7,,,
Rabib,RABIB-1,Khuff B Reservoir,PROSPECT,Gas,0.8,0.6,0.9,0.8,0.3456,,1,,,,,,RABIB-1,,,
Umm Huwayd,UMM HUWAYD-1,Khuff B Reservoir,PROSPECT,Gas,0.7,0.5,0.9,0.4,0.126,,1,,,,,,UMM HUWAYD-1,,,
Umm Sudayrah,UMM SUDAYRAH-1,Khuff B Reservoir,PROSPECT,Gas,0.5,0.8,0.7,0.4,0.112,,,,,,1,,UMM SUDAYRAH-1,,,
Arabiyah,ARABIYAH-1,Khuff C Reservoir,PROSPECT,Gas,0.8,0.7,1,0.8,0.448,,,,,,1,,ARABIYAH-1,,,
Bakr Deep 1 (5),BAKR-5,Khuff C Reservoir,PROSPECT,Gas,0.5,0.8,0.7,0.4,0.112,,,,,1,,,BAKR-5,,,
Fadhili (18),FADHILI-18,Khuff C Reservoir,DELINEATION,Gas,0.7,0.4,1,0.4,0.112,,1,,,,,,FADHILI-18,,,
Hasbah  (17),HASBAH-17,Khuff C Reservoir,DELINEATION,Gas,0.9,0.7,1,0.9,0.567,,,,,,1,,HASBAH-17,,,
Hasbah (16),HASBAH-16,Khuff C Reservoir,DELINEATION,Gas,0.8,0.8,0.9,0.7,0.4032,,,,,,,1,HASBAH-16,,,
Hasbah Deep 1,HASBAH-15,Khuff C Reservoir,PROSPECT,Gas,0.8,0.8,0.9,0.7,0.4032,,,,,,,,HASBAH-15,,,
Jauf Deep 1,JAUF-11,Khuff C Reservoir,PROSPECT,Gas,0.4,0.9,0.9,0.4,0.1296,1,,,,,,,JAUF-11,,,
Jurayd Deep 1,JURAYD-5,Khuff C Reservoir,PROSPECT,Gas,0.4,0.8,0.8,0.9,0.2304,,,,,,,1,JURAYD-5,,,
Karan (7),KARAN-7,Khuff C Reservoir,DELINEATION,Gas,0.7,0.9,1,0.8,0.504,,,,,,,1,KARAN-7,,,
Umm Huwayd,UMM HUWAYD-1,Khuff C Reservoir,PROSPECT,Gas,0.7,0.5,0.9,0.4,0.126,1,1,,,,,,UMM HUWAYD-1,,,
Umm Sudayrah,UMM SUDAYRAH-1,Khuff C Reservoir,PROSPECT,Gas,0.5,0.8,0.7,0.4,0.112,,,,,,1,,UMM SUDAYRAH-1,,,
Arabiyah,ARABIYAH-1,Khuff D Reservoir,PROSPECT,Gas,0.5,0.7,1,0.8,0.28,1,,,,,,,ARABIYAH-1,,,
Hasbah (16),HASBAH-16,Khuff D Reservoir,DELINEATION,Gas,0.5,0.8,0.9,0.7,0.252,,,,,,,1,HASBAH-16,,,
Hasbah Deep 1,HASBAH-15,Khuff D Reservoir,PROSPECT,Gas,0.5,0.8,0.9,0.7,0.252,,,,,,,,HASBAH-15,,,
Karan (7),KARAN-7,Khuff D Reservoir,DELINEATION,Gas,0.7,0.9,1,0.8,0.504,1,,,,,,,KARAN-7,,,
Fadhili (18),FADHILI-18,Lower Fadhili Reservoir,DELINEATION,Oil,0.7,0.7,0.9,1,0.441,,1,,,,,,FADHILI-18,,,
Furaysah,FURAYSAH-1,Lower Fadhili Reservoir,PROSPECT,Oil,0.5,0.7,0.8,0.9,0.252,,,1,1,,,,FURAYSAH-1,,,
Mazalij Hanifa (1005),MAZALIJ-1005,Lower Fadhili Reservoir,PROSPECT,Oil,0.3,0.9,1,0.5,0.135,,,,,,,1,MAZALIJ-1005,,,
Niyashin,NIYASHIN-1,Lower Fadhili Reservoir,PROSPECT,Oil,0.8,0.6,0.9,0.4,0.1728,1,1,,,,,,NIYASHIN-1,,,
Rimthan (9),RIMTHAN-9,Lower Fadhili Reservoir,DELINEATION,Oil,0.7,0.9,0.5,0.7,0.2205,,,,,,,1,RIMTHAN-9,,,
Rumhayn,RUMHAYN-1,Lower Fadhili Reservoir,PROSPECT,Oil,0.8,0.9,0.5,0.8,0.288,,1,,,,,,RUMHAYN-1,,,
Sadawi (4),SADAWI-4,Lower Fadhili Reservoir,DELINEATION,Oil,0.5,0.7,0.8,0.9,0.252,,1,,,,,,SADAWI-4,,,
Umm Huwayd,UMM HUWAYD-1,Lower Fadhili Reservoir,PROSPECT,Oil,0.7,0.5,0.9,0.7,0.2205,,,,,,1,,UMM HUWAYD-1,,,
Umm Sudayrah,UMM SUDAYRAH-1,Lower Fadhili Reservoir,PROSPECT,Oil,0.7,0.5,0.8,0.5,0.14,,,,1,,,,UMM SUDAYRAH-1,,,
Samhah,SMHA-1 (re-entry),Lower Hanifa Reservoir,PROSPECT,Oil,0.9,0.9,0.6,0.4,0.1944,,,1,1,,,,SMHA-1 (re-entry),,,
Bakr Deep 1 (5),BAKR-5,Lower Jubaila Reservoir,PROSPECT,,,,,,,,,,,,,1,BAKR-5,,,
Jurayd (Cretaceous),JURAYD-101,Lower Ratawi Reservoir,PROSPECT,Oil,0.9,1,0.9,0.3,0.243,,,,,,,1,JURAYD-101,,,
Sharar Deep 1 (7),SHARAR-7,Lower Ratawi Reservoir,PROSPECT,Oil,0.8,0.8,0.9,0.6,0.3456,,1,,,,,,SHARAR-7,,,
Niyashin,NIYASHIN-1,Manifa Reservoir,PROSPECT,Oil,0.8,0.7,0.9,0.8,0.4032,,,,1,,,,NIYASHIN-1,,,
Umm Sudayrah,UMM SUDAYRAH-1,Manifa Reservoir,PROSPECT,,0.8,0.5,0.9,0.4,0.14,,1,,1,,,,UMM SUDAYRAH-1,,,
Bakr Deep 1 (5),BAKR-5,Marrat Reservoir,PROSPECT,Oil,0.5,0.8,0.9,0.7,0.252,1,,,,,,,BAKR-5,,,
Jauf Deep 1,JAUF-11,Marrat Reservoir,PROSPECT,Oil,0.5,0.8,0.9,1,0.36,,,,,,,1,JAUF-11,,,
Niyashin,NIYASHIN-1,Marrat Reservoir,PROSPECT,Oil,0.2,0.6,0.9,0.5,0.054,,,,,,,,NIYASHIN-1,,,
Rumhayn,RUMHAYN-1,Marrat Reservoir,PROSPECT,Oil,0.5,0.9,0.8,0.5,0.18,,1,,,,,,RUMHAYN-1,,,
Sharar Deep 1 (7),SHARAR-7,Marrat Reservoir,PROSPECT,Oil,0.8,0.7,0.8,0.5,0.224,,,,,,,1,SHARAR-7,,,
Umm Huwayd,UMM HUWAYD-1,Mauddud Reservoir,PROSPECT,Oil,0.6,0.5,0.8,0.3,0.072,,,,,,1,,UMM HUWAYD-1,,,
Murradaf,MURRADAF-1,Middle Qusaiba Sand Reservoir,PROSPECT,Gas,0.2,0.5,0.8,0.9,0.072,,,,,,,,MURRADAF-1,,,
Bakr Deep 1 (5),BAKR-5,Minjur Reservoir,PROSPECT,Oil,0.5,0.8,0.9,0.7,0.252,1,,,,,,,BAKR-5,,,
Jauf Deep 1,JAUF-11,Minjur Reservoir,PROSPECT,Oil,0.5,0.8,0.9,1,0.36,,1,,,,,,JAUF-11,,,
Sharar Deep 1 (7),SHARAR-7,Minjur Reservoir,PROSPECT,Oil,0.8,0.7,0.8,0.5,0.224,,,,,,,1,SHARAR-7,,,
Ad Dinan,ABQAIQ-700,Mishrif Reservoir,PROSPECT,Oil,0.9,0.9,0.6,0.4,0.1944,,,1,,,,,ABQAIQ-700,,,
Umm Huwayd,UMM HUWAYD-1,Safaniya Reservoir,PROSPECT,Oil,0.6,0.5,0.8,0.3,0.072,,,,,,1,,UMM HUWAYD-1,,,
Mazalij (29),MAZALIJ-29,Sarah Reservoir,,,,,,,,,,,,,,1,MAZALIJ-29,,,
Saqqar-2,Saqqar-2,Sarah Reservoir,PROSPECT,Oil,0.25,1,1,0.8,0.2,,,1,,,,,SAQQAR-2,,,
Saqqar-2,Saqqar-2,Saq Reservoir,PROSPECT,Oil,0.25,1,0.9,0.3,0.07,,,1,,,,,SAQQAR-2,,,
Sharar Deep 1 (7),SHARAR-7,Sharar Reservoir,PROSPECT,Oil,0.9,0.4,0.9,0.9,0.2916,,1,,,,,,SHARAR-7,,,
Jurayd (Cretaceous),JURAYD-101,Shuaiba Reservoir,PROSPECT,Oil,0.9,1,0.9,0.3,0.243,,,,,,,1,JURAYD-101,,,
Bakr Deep 1 (5),BAKR-5,Sudair Formation,PROSPECT,Gas,0.4,0.8,0.7,0.6,0.1344,,,,,1,,,BAKR-5,,,
Haruri-2 (Re-Entry),HARURI-2,Sudair Formation,PROSPECT,Gas,0.5,1,1,1,0.5,1,,,,,,,HARURI-2,,,
Jauf Deep 1,JAUF-11,Sudair Formation,PROSPECT,Gas,0.2,0.9,0.9,0.5,0.081,1,,,,,,,JAUF-11,,,
Abu Markhah (3),ABU MARKHAH-3,Unayzah A Reservoir,DELINEATION,Gas,0.8,0.8,0.4,1,0.256,,,,,,,1,ABU MARKHAH-3,,,
Abu Seyal,ABU SEYAL-1,Unayzah A Reservoir,PROSPECT,Oil,0.8,0.8,0.6,1,0.384,,,1,,,,,ABU SEYAL-1,,,
Abu Tarfa,ABU TARFA-1,Unayzah A Reservoir,PROSPECT,Oil,0.8,0.8,0.5,0.9,0.288,,,1,1,,,,ABU TARFA-1,,,
Addahna,ADDAHNA-1,Unayzah A Reservoir,PROSPECT,Gas,0.7,0.7,0.4,0.9,0.1764,1,,,,,,,ADDAHNA-1,,,
Dilam (4),DILM-4,Unayzah A Reservoir,DELINEATION,Oil,0.6,0.9,1,1,0.54,,,1,,,,,DILM-4,,,
Dilham,DILM-3,Unayzah A Reservoir,PROSPECT,Gas,0.8,0.7,0.9,0.7,0.3528,1,,,,,,,DILM-3,,,
Dirwazah,DIRWASAH-1,Unayzah A Reservoir,PROSPECT,Gas,0.9,0.9,0.3,0.8,0.1944,,,,,,1,,DIRWASAH-1,,,
Kassab (2),KASSAB-2,Unayzah A Reservoir,DELINEATION,Gas,0.8,0.7,0.4,0.9,0.2016,1,,,,,,,KASSAB-2,,,
Mabruk Deep 1,MABRUK-2,Unayzah A Reservoir,PROSPECT,Gas,0.9,0.9,0.7,0.7,0.3969,,1,,1,,,,MABRUK-2,,,
Mahayer,MAHAYER-1,Unayzah A Reservoir,PROSPECT,Oil,0.7,0.8,0.5,1,0.28,,,,,,,1,MAHAYER-1,,,
Midrikah (21),MIDRIKAH-21,Unayzah A Reservoir,DELINEATION,Gas,0.8,0.8,0.9,0.9,0.5184,,,,,,,1,MIDRIKAH-21,,,
Murradaf,MURRADAF-1,Unayzah A Reservoir,PROSPECT,Gas,0.8,0.7,0.7,0.9,0.3528,1,,1,,,,,MURRADAF-1,,,
Nujayman (3),NUJAYMAN-3,Unayzah A Reservoir,DELINEATION,Gas,0.5,0.8,0.5,1,0.2,,,,,,,1,NUJAYMAN-3,,,
Samhah,SMHA-1 (re-entry),Unayzah A Reservoir,PROSPECT,Oil,0.4,0.9,0.9,0.9,0.2916,1,,,,,,,SMHA-1 (re-entry),,,
Umm Huwayd,UMM HUWAYD-1,Unayzah A Reservoir,PROSPECT,Gas,0.6,0.5,0.9,0.4,0.108,,,,,,1,,UMM HUWAYD-1,,,
Umm Rejim,UMRJ-1,Unayzah A Reservoir,PROSPECT,Oil,0.9,0.7,0.5,0.8,0.252,1,1,,,,,,UMRJ-1,,,
Dilam (4),DILM-4,Unayzah B Reservoir,DELINEATION,Oil,0.3,0.9,0.8,1,0.216,,,,,,,,DILM-4,,,
Dilham,DILM-3,Unayzah B Reservoir,PROSPECT,Gas,0.6,0.7,0.9,0.7,0.2646,,,,,,1,,DILM-3,,,
Dirwazah,DIRWASAH-1,Unayzah B Reservoir,PROSPECT,Gas,0.3,0.9,0.6,0.8,0.1296,,,,,,1,,DIRWASAH-1,,,
Samhah,SMHA-1 (re-entry),Unayzah B Reservoir,PROSPECT,Oil,0.3,0.9,0.9,0.9,0.2187,1,,,,,,,SMHA-1 (re-entry),,,
Abu Markhah (3),ABU MARKHAH-3,Unayzah B/C Reservoir,DELINEATION,Gas,0.7,0.8,0.3,1,0.168,,,1,,,,,ABU MARKHAH-3,,,
